Id,SalePrice
1461,116045.05680180654
1462,183226.4994950337
1463,188935.27325923488
1464,203624.86960792396
1465,200240.18852674623
1466,189548.75739322393
1467,210975.69821621774
1468,165480.03778018447
1469,223227.70562217495
1470,128136.71126908528
1471,236336.96598479094
1472,102922.51071648826
1473,85165.01507120683
1474,159027.83875234984
1475,112138.8105242158
1476,380299.29229734046
1477,264495.3705241621
1478,329606.48947455775
1479,313682.80624892114
1480,421912.5020946485
1481,311603.3505783143
1482,225298.98988958786
1483,196068.29253122857
1484,179957.05938734705
1485,202025.26545049797
1486,228417.44662123203
1487,312030.56079357053
1488,262207.3866120552
1489,207131.7170047562
1490,268953.03981096926
1491,223414.20734591753
1492,102396.8053779834
1493,204266.74827467278
1494,304325.4128632745
1495,315493.5732640179
1496,276742.3156714984
1497,183604.74432943447
1498,176165.1215648806
1499,173971.6960679479
1500,161641.7180401447
1501,188594.46550478326
1502,159795.17874385492
1503,309258.0509532495
1504,268634.4173911262
1505,260457.5146605817
1506,206787.69048391446
1507,288581.6373260132
1508,227482.5952070842
1509,160108.64721590478
1510,152559.32539859257
1511,183021.63897459256
1512,197877.73697265828
1513,157558.5790138839
1514,173201.49641697673
1515,215333.41480490833
1516,175667.60355886997
1517,189829.38601025517
1518,159405.00807041617
1519,264321.44908570754
1520,141506.8406451147
1521,147928.76529390347
1522,207561.25876930088
1523,86185.79269495237
1524,123842.17349137345
1525,121081.09686520892
1526,103827.26408595295
1527,101454.616268192
1528,140026.2170200757
1529,160796.30886475154
1530,203855.19937076094
1531,135324.2420603764
1532,104035.38973498097
1533,168312.59381882634
1534,155369.83998594162
1535,180420.23378405633
1536,113836.55434625623
1537,90874.20441853278
1538,175212.50014084962
1539,263326.68461240944
1540,164008.42730108183
1541,155049.9761489454
1542,170042.64006496954
1543,220969.07979617885
1544,76400.63433603951
1545,105523.94114129008
1546,147756.4105711101
1547,146743.84275479737
1548,132234.20469587023
1549,124006.34303702769
1550,161673.96473527374
1551,176303.93870884203
1552,179322.49051089768
1553,161444.33371757786
1554,128917.34056745906
1555,197536.45061171852
1556,97299.38672543077
1557,142872.18044219626
1558,125164.61711189506
1559,94921.71121021386
1560,188840.0361134602
1561,159007.52684596812
1562,127602.23017802706
1563,125876.35642319224
1564,197124.65485254175
1565,159411.11850239095
1566,269708.82340599014
1567,96583.46493157065
1568,277487.07922285737
1569,152619.3498023753
1570,131619.2057554922
1571,98627.61662334288
1572,162157.32381261894
1573,270864.0859874818
1574,152583.65040014219
1575,266051.54041731963
1576,272729.408458963
1577,207378.51061600616
1578,171047.65894102442
1579,154149.61663611713
1580,208541.07282494492
1581,148192.28148700978
1582,127279.08249990396
1583,317390.1168892311
1584,258965.74089287256
1585,159514.7721881522
1586,53734.117551717645
1587,107770.40188944971
1588,169696.20479706797
1589,91661.51684850924
1590,151559.1523638235
1591,61795.05181262155
1592,140774.0898633778
1593,131000.85832248241
1594,124037.62179114326
1595,126201.74071389019
1596,260051.94478513172
1597,207430.2134414239
1598,196804.0367873945
1599,212138.21639482206
1600,209093.6875660735
1601,42751.94462120847
1602,118486.22413438842
1603,80716.90001912406
1604,301250.920592079
1605,274779.4601461743
1606,199643.58321248175
1607,194515.9847426518
1608,237409.9768657862
1609,206681.99470362102
1610,146387.8984076754
1611,130664.9328274938
1612,207980.95540984778
1613,181759.34541228972
1614,146966.69466219156
1615,63136.35760279496
1616,47895.15142184273
1617,60101.356436518035
1618,119760.26360729942
1619,139211.91218438186
1620,214513.6815328563
1621,146442.05952803823
1622,173369.46050074135
1623,305915.38225179864
1624,250237.71308118757
1625,146320.21354749074
1626,208188.41869511135
1627,209929.9319222847
1628,314781.1470521245
1629,184051.72414645302
1630,319433.3197012783
1631,236703.78883630916
1632,249961.29330099904
1633,187691.15899494867
1634,196413.74748726728
1635,199351.5441493491
1636,173468.41423074226
1637,198980.44173232268
1638,223881.00175831368
1639,195736.40867577514
1640,284765.2198964722
1641,209648.86065442069
1642,283925.20925082034
1643,250153.2682873445
1644,259598.47589915455
1645,239643.2006609217
1646,183076.94529882353
1647,192421.05533466866
1648,139423.0049391031
1649,136879.24699814085
1650,105696.22540113803
1651,115863.51064736028
1652,94602.913323157
1653,89285.93038321049
1654,161616.81011393492
1655,167831.38317415054
1656,149982.1806626678
1657,159617.39395598444
1658,159248.94980991975
1659,117155.47545982801
1660,169425.33950239763
1661,465654.07193164114
1662,387098.38304633053
1663,399169.5321096308
1664,424273.9316687391
1665,355527.75074678235
1666,343237.6192600184
1667,390599.8377137337
1668,388976.9583123135
1669,351334.218048764
1670,386605.18331841443
1671,290208.24764682696
1672,378347.68373978895
1673,310669.1457525685
1674,272751.79096671357
1675,230343.0729644604
